region_id,year,rainfall_mm,temperature_c
1,2010,1431.2,29.06
1,2011,1380.6,29.76
1,2012,1321.3,29.31
1,2013,1242.8,28.74
1,2014,1294.2,29.42
1,2015,1448.2,29.53
1,2016,1463.6,29.31
1,2017,1367.8,29.16
1,2018,1324.6,30.43
1,2019,1249.5,29.95
1,2020,1215.5,30.02
1,2021,1296.4,29.62
1,2022,1343.2,29.46
1,2023,1409.4,29.57
1,2024,1333.5,29.28
1,2025,1327.8,30.46
2,2010,1202.3,27.62
2,2011,1265.8,26.97
2,2012,1353.9,27.34
2,2013,1369.2,27.28
2,2014,1202.8,26.69
2,2015,1248.7,27.96
2,2016,1144.0,27.16
2,2017,1238.5,26.9
2,2018,1210.4,27.64
2,2019,1283.0,27.41
2,2020,1290.5,27.59
2,2021,1297.3,27.52
2,2022,1197.6,26.7
2,2023,1138.5,27.22
2,2024,1120.5,27.24
2,2025,1222.0,27.99
3,2010,1412.9,30.17
3,2011,1490.5,30.55
3,2012,1462.4,30.31
3,2013,1309.6,30.32
3,2014,1297.6,30.51
3,2015,1252.6,30.51
3,2016,1363.0,31.52
3,2017,1491.2,30.2
3,2018,1422.8,29.99
3,2019,1369.2,30.74
3,2020,1369.5,30.36
3,2021,1245.6,29.83
3,2022,1273.4,30.3
3,2023,1316.5,30.4
3,2024,1396.2,30.09
3,2025,1359.4,31.68
4,2010,1163.8,31.96
4,2011,1067.2,30.69
4,2012,1190.2,31.56
4,2013,1187.6,30.81
4,2014,1255.1,31.11
4,2015,1150.9,30.92
4,2016,1038.1,30.91
4,2017,1046.0,31.14
4,2018,1058.1,31.27
4,2019,1183.3,31.18
4,2020,1207.4,31.17
4,2021,1190.2,30.9
4,2022,1144.9,31.18
4,2023,1143.1,31.88
4,2024,1038.3,30.98
4,2025,1002.1,31.8
5,2010,996.6,27.47
5,2011,1148.2,26.69
5,2012,1150.0,27.28
5,2013,1151.4,27.09
5,2014,1077.6,27.14
5,2015,1018.8,27.86
5,2016,887.3,27.22
5,2017,1033.3,27.46
5,2018,1075.0,26.68
5,2019,1141.8,28.11
5,2020,1047.7,27.8
5,2021,1028.4,27.46
5,2022,930.4,27.39
5,2023,1001.8,27.79
5,2024,1055.3,28.06
5,2025,1067.3,28.32
6,2010,672.3,28.83
6,2011,702.8,29.23
6,2012,749.8,29.18
6,2013,823.2,29.37
6,2014,834.9,29.67
6,2015,765.7,28.35
6,2016,672.4,28.54
6,2017,644.2,29.65
6,2018,737.1,28.8
6,2019,737.2,29.13
6,2020,763.0,28.88
6,2021,798.1,29.65
6,2022,741.6,28.3
6,2023,668.1,29.28
6,2024,662.4,29.94
6,2025,609.9,29.09
7,2010,1025.7,28.15
7,2011,1021.3,27.81
7,2012,980.6,28.5
7,2013,883.5,28.2
7,2014,828.1,27.79
7,2015,810.3,28.11
7,2016,883.0,28.61
7,2017,886.5,28.19
7,2018,1008.9,27.98
7,2019,877.4,28.4
7,2020,870.1,28.35
7,2021,832.6,28.73
7,2022,812.1,28.64
7,2023,923.0,28.37
7,2024,810.9,29.13
7,2025,893.5,28.57
8,2010,949.9,27.26
8,2011,1019.9,28.11
8,2012,1136.1,28.08
8,2013,1083.5,27.08
8,2014,1106.8,27.85
8,2015,1051.2,28.36
8,2016,981.4,28.41
8,2017,983.1,28.36
8,2018,997.3,28.11
8,2019,1096.9,28.54
8,2020,1098.1,28.46
8,2021,1067.9,28.24
8,2022,1039.9,27.52
8,2023,898.0,27.76
8,2024,854.5,28.12
8,2025,1029.4,28.31
9,2010,687.8,24.37
9,2011,695.2,24.47
9,2012,664.6,24.23
9,2013,702.0,24.15
9,2014,767.0,24.86
9,2015,810.5,24.02
9,2016,686.2,24.19
9,2017,638.7,24.59
9,2018,552.9,25.05
9,2019,658.9,24.5
9,2020,703.5,24.49
9,2021,783.5,24.71
9,2022,739.8,24.96
9,2023,708.3,24.72
9,2024,545.7,25.32
9,2025,597.9,25.37
10,2010,875.5,30.48
10,2011,878.4,29.76
10,2012,784.6,30.2
10,2013,785.2,29.94
10,2014,882.1,29.97
10,2015,884.9,29.24
10,2016,811.1,29.46
10,2017,806.4,29.83
10,2018,836.0,30.42
10,2019,702.9,30.15
10,2020,766.0,29.94
10,2021,853.7,30.33
10,2022,867.9,30.55
10,2023,811.5,30.16
10,2024,891.8,30.28
10,2025,779.1,30.26
11,2010,628.5,28.59
11,2011,589.2,28.59
11,2012,583.4,29.4
11,2013,614.5,28.89
11,2014,686.0,28.92
11,2015,745.9,28.34
11,2016,676.7,28.31
11,2017,565.7,29.69
11,2018,598.1,28.89
11,2019,486.9,28.03
11,2020,568.4,30.22
11,2021,675.5,29.06
11,2022,717.3,28.7
11,2023,668.5,29.39
11,2024,612.3,29.71
11,2025,566.3,29.69
12,2010,602.8,30.31
12,2011,555.1,31.27
12,2012,643.7,31.33
12,2013,652.6,31.39
12,2014,634.6,30.94
12,2015,617.9,30.73
12,2016,462.5,30.73
12,2017,519.6,30.32
12,2018,579.9,30.76
12,2019,661.1,30.06
12,2020,602.7,30.38
12,2021,560.1,31.18
12,2022,512.0,31.02
12,2023,457.6,31.24
12,2024,424.9,31.47
12,2025,544.7,31.38
13,2010,747.0,24.67
13,2011,686.9,24.43
13,2012,723.3,24.27
13,2013,774.3,24.78
13,2014,811.6,24.86
13,2015,705.0,25.24
13,2016,696.2,24.85
13,2017,614.3,25.16
13,2018,681.6,24.4
13,2019,736.8,25.12
13,2020,748.8,25.13
13,2021,714.9,25.62
13,2022,760.4,25.02
13,2023,656.1,24.19
13,2024,569.1,25.07
13,2025,606.1,25.51
14,2010,1266.9,29.39
14,2011,1293.3,28.85
14,2012,1197.2,30.1
14,2013,1139.1,28.89
14,2014,1250.5,29.23
14,2015,1357.8,29.57
14,2016,1262.5,29.72
14,2017,1260.9,30.05
14,2018,1187.4,29.33
14,2019,1192.5,29.92
14,2020,1206.8,28.98
14,2021,1272.6,29.27
14,2022,1318.3,29.15
14,2023,1335.0,29.43
14,2024,1216.4,30.08
14,2025,1205.8,29.58
15,2010,476.5,27.61
15,2011,510.3,27.72
15,2012,573.2,27.41
15,2013,661.2,27.19
15,2014,463.7,28.28
15,2015,589.9,27.51
15,2016,364.6,27.59
15,2017,443.6,27.67
15,2018,470.3,28.01
15,2019,595.3,27.22
15,2020,614.4,28.67
15,2021,546.8,27.75
15,2022,462.0,28.17
15,2023,352.6,28.02
