region_id,year,population,domestic_mcm,agriculture_mcm,industrial_mcm,ecological_mcm,total_mcm
1,2010,899805,40.3,62.56,18.15,3.63,124.64
1,2011,911952,38.31,61.31,17.6,3.45,120.68
1,2012,924263,39.66,64.27,18.58,3.57,126.09
1,2013,936741,40.88,67.32,19.52,3.68,131.4
1,2014,949387,43.65,71.54,21.24,3.93,140.36
1,2015,962204,43.44,67.6,21.53,3.91,136.48
1,2016,975193,44.67,68.85,22.54,4.02,140.08
1,2017,988358,43.78,69.63,22.48,3.94,139.84
1,2018,1001701,44.61,73.66,23.31,4.02,145.59
1,2019,1015224,46.88,78.74,24.92,4.22,154.77
1,2020,1028930,47.38,80.57,25.61,4.27,157.83
1,2021,1042820,48.72,80.06,26.77,4.39,159.94
1,2022,1056898,48.89,78.83,27.31,4.4,159.43
1,2023,1071167,50.24,79.33,28.52,4.53,162.62
1,2024,1085627,51.04,82.32,29.43,4.6,167.38
1,2025,1100283,52.61,86.83,30.81,4.74,174.99
2,2010,4734153,210.7,294.24,109.14,23.97,638.05
2,2011,4839724,206.14,278.29,108.91,23.45,616.79
2,2012,4947650,209.04,275.25,112.6,23.78,620.67
2,2013,5057983,229.37,300.01,125.93,26.1,681.41
2,2014,5170776,236.5,324.73,132.3,26.91,720.43
2,2015,5286084,232.47,321.38,132.45,26.45,712.76
2,2016,5403964,234.73,331.65,136.17,26.71,729.25
2,2017,5524472,250.94,341.6,148.17,28.55,769.26
2,2018,5647668,262.05,365.05,157.45,29.81,814.37
2,2019,5773611,273.76,370.26,167.32,31.15,842.49
2,2020,5902362,274.25,371.12,170.46,31.2,847.04
2,2021,6033985,276.75,373.13,174.88,31.49,856.25
2,2022,6168543,281.28,386.98,180.66,32.0,880.92
2,2023,6306101,294.23,416.94,192.02,33.48,936.67
2,2024,6446727,300.32,428.32,199.11,34.17,961.93
2,2025,6590489,304.01,424.44,204.71,34.59,967.75
3,2010,5372183,244.94,314.77,100.82,19.39,679.93
3,2011,5467270,249.26,313.63,104.65,19.73,687.27
3,2012,5564041,251.73,318.62,107.76,19.93,698.04
3,2013,5662524,247.1,330.08,107.81,19.56,704.56
3,2014,5762751,261.86,352.43,116.41,20.73,751.42
3,2015,5864752,266.67,364.41,120.74,21.11,772.92
3,2016,5968558,271.65,363.93,125.23,21.5,782.31
3,2017,6074201,282.24,352.82,132.44,22.34,789.84
3,2018,6181715,285.17,363.99,136.16,22.57,807.89
3,2019,6291131,292.21,385.27,141.93,23.13,842.54
3,2020,6402484,298.2,390.45,147.29,23.6,859.55
3,2021,6515808,303.14,410.16,152.23,24.0,889.52
3,2022,6631138,296.89,401.35,151.53,23.5,873.27
3,2023,6748509,315.32,420.82,163.54,24.96,924.64
3,2024,6867958,318.29,410.87,167.7,25.19,922.05
3,2025,6989521,320.68,431.36,171.59,25.38,949.02
4,2010,757376,34.29,42.5,9.69,16.53,103.01
4,2011,774719,35.28,44.19,10.17,17.01,106.66
4,2012,792460,36.01,43.91,10.59,17.36,107.87
4,2013,810608,36.22,43.62,10.86,17.46,108.16
4,2014,829171,38.04,44.97,11.62,18.34,112.97
4,2015,848159,38.09,46.55,11.85,18.36,114.85
4,2016,867582,39.3,49.9,12.44,18.95,120.6
4,2017,887449,39.35,50.04,12.68,18.97,121.05
4,2018,907772,41.68,52.91,13.67,20.1,128.36
4,2019,928560,42.55,51.66,14.2,20.52,128.93
4,2020,949824,42.54,51.2,14.43,20.51,128.7
4,2021,971575,44.85,54.05,15.47,21.62,135.99
4,2022,993824,46.07,56.68,16.15,22.21,141.11
4,2023,1016583,49.13,61.24,17.5,23.69,151.55
4,2024,1039862,49.61,63.07,17.95,23.92,154.54
4,2025,1063675,50.09,65.41,18.41,24.15,158.07
5,2010,827521,36.43,52.59,15.39,18.03,122.44
5,2011,840430,37.03,50.02,15.95,18.33,121.33
5,2012,853541,37.61,51.31,16.52,18.62,124.05
5,2013,866856,37.7,51.24,16.88,18.67,124.49
5,2014,880379,39.21,54.74,17.89,19.41,131.26
5,2015,894113,39.54,57.06,18.37,19.58,134.55
5,2016,908061,39.94,59.53,18.9,19.77,138.14
5,2017,922227,42.23,60.21,20.34,20.91,143.69
5,2018,936613,43.0,59.58,21.07,21.29,144.94
5,2019,951224,41.98,58.3,20.93,20.78,142.0
5,2020,966064,44.32,63.26,22.47,21.94,151.99
5,2021,981134,46.24,66.03,23.83,22.89,159.0
5,2022,996440,47.24,69.63,24.75,23.39,165.01
5,2023,1011984,48.17,69.83,25.64,23.85,167.49
5,2024,1027771,48.21,68.94,26.07,23.86,167.07
5,2025,1043805,48.32,69.13,26.53,23.92,167.9
6,2010,3029512,129.82,221.68,65.52,12.29,429.3
6,2011,3084649,136.72,232.71,70.39,12.94,452.75
6,2012,3140789,140.0,234.23,73.49,13.25,460.97
6,2013,3197952,145.83,238.56,78.02,13.8,476.21
6,2014,3256154,148.67,243.48,81.04,14.07,487.27
6,2015,3315416,148.45,243.34,82.42,14.05,488.26
6,2016,3375757,148.5,252.26,83.95,14.05,498.76
6,2017,3437196,154.82,270.84,89.08,14.65,529.4
6,2018,3499753,160.11,267.25,93.74,15.15,536.26
6,2019,3563448,162.44,272.74,96.75,15.37,547.31
6,2020,3628303,164.94,273.22,99.9,15.61,553.66
6,2021,3694338,171.58,284.6,105.65,16.24,578.07
6,2022,3761575,172.88,285.52,108.2,16.36,582.96
6,2023,3830036,176.42,304.12,112.19,16.7,609.43
6,2024,3899742,183.9,321.39,118.81,17.4,641.51
6,2025,3970718,185.46,324.92,121.69,17.55,649.61
7,2010,4907435,216.0,278.12,87.21,17.33,598.65
7,2011,5027667,222.52,285.23,91.64,17.85,617.24
7,2012,5150845,222.67,293.26,93.5,17.86,627.29
7,2013,5277040,232.34,314.96,99.44,18.64,665.37
7,2014,5406328,248.48,340.77,108.35,19.93,717.53
7,2015,5538783,242.88,337.05,107.87,19.48,707.29
7,2016,5674483,245.16,334.83,110.86,19.67,710.52
7,2017,5813508,253.73,343.53,116.78,20.35,734.4
7,2018,5955939,271.46,350.61,127.14,21.78,770.99
7,2019,6101859,279.46,380.99,133.14,22.42,816.01
7,2020,6251355,286.82,391.66,138.96,23.01,840.46
7,2021,6404513,303.13,422.14,149.31,24.32,898.9
7,2022,6561424,288.35,403.7,144.36,23.13,859.54
7,2023,6722178,316.05,423.86,160.78,25.35,926.04
7,2024,6886872,332.84,470.25,172.01,26.7,1001.79
7,2025,7055600,324.72,441.56,170.43,26.05,962.77
8,2010,441228,19.18,25.86,7.3,1.76,54.09
8,2011,451905,19.59,26.19,7.61,1.8,55.19
8,2012,462841,20.11,25.79,7.96,1.84,55.71
8,2013,474042,20.94,26.87,8.45,1.92,58.17
8,2014,485514,22.31,28.8,9.17,2.05,62.32
8,2015,497263,23.15,30.75,9.69,2.12,65.7
8,2016,509297,22.82,31.08,9.73,2.09,65.72
8,2017,521622,24.55,33.38,10.65,2.25,70.83
8,2018,534245,24.35,32.81,10.75,2.23,70.15
8,2019,547174,25.92,34.0,11.64,2.38,73.94
8,2020,560416,25.73,33.68,11.75,2.36,73.51
8,2021,573978,26.59,35.05,12.35,2.44,76.42
8,2022,587868,27.49,36.12,12.97,2.52,79.1
8,2023,602095,29.87,41.35,14.32,2.74,88.28
8,2024,616665,29.39,41.54,14.32,2.69,87.94
8,2025,631589,29.32,39.21,14.5,2.69,85.72
9,2010,3775894,168.59,220.99,61.44,58.4,509.42
9,2011,3872934,169.25,221.69,62.92,58.63,512.48
9,2012,3972468,174.01,229.36,65.96,60.28,529.61
9,2013,4074561,184.43,239.62,71.25,63.89,559.19
9,2014,4179277,186.83,240.27,73.54,64.72,565.35
9,2015,4286685,193.52,241.34,77.58,67.03,579.48
9,2016,4396852,198.42,259.39,80.99,68.73,607.53
9,2017,4509851,205.82,275.48,85.52,71.29,638.11
9,2018,4625755,212.5,295.18,89.84,73.61,671.13
9,2019,4744637,208.75,277.03,89.78,72.31,647.87
9,2020,4866574,226.8,296.31,99.19,78.56,700.86
9,2021,4991645,226.13,288.32,100.55,78.33,693.32
9,2022,5119930,230.85,300.3,104.33,79.96,715.44
9,2023,5251512,244.68,320.46,112.36,84.75,762.26
9,2024,5386476,252.87,353.77,117.96,87.59,812.19
9,2025,5524908,256.53,353.01,121.54,88.86,819.95
10,2010,572579,25.5,34.74,11.22,2.13,73.58
10,2011,585519,25.08,33.7,11.26,2.1,72.14
10,2012,598752,26.27,36.75,12.03,2.2,77.25
10,2013,612283,26.9,37.45,12.55,2.25,79.15
10,2014,626121,27.95,37.64,13.28,2.34,81.21
10,2015,640271,28.91,38.39,13.99,2.42,83.7
10,2016,654741,28.94,39.59,14.27,2.42,85.22
10,2017,669539,30.79,42.47,15.45,2.57,91.29
10,2018,684670,31.23,43.09,15.94,2.61,92.87
10,2019,700144,30.83,44.29,16.01,2.58,93.72
10,2020,715967,31.64,44.33,16.71,2.64,95.32
10,2021,732148,33.82,46.31,18.16,2.83,101.12
10,2022,748694,34.61,47.33,18.89,2.89,103.72
10,2023,765615,35.64,49.37,19.76,2.98,107.75
10,2024,782918,36.67,49.5,20.66,3.06,109.9
10,2025,800612,37.87,53.13,21.67,3.16,115.83
11,2010,994398,44.38,56.57,11.61,8.22,120.78
11,2011,1014285,43.66,56.41,11.65,8.09,119.8
11,2012,1034571,44.69,58.71,12.16,8.28,123.85
11,2013,1055263,45.89,59.09,12.72,8.5,126.21
11,2014,1076368,48.37,60.77,13.66,8.96,131.76
11,2015,1097895,50.52,61.47,14.54,9.36,135.89
11,2016,1119853,50.09,62.45,14.67,9.28,136.49
11,2017,1142250,49.19,65.35,14.67,9.11,138.32
11,2018,1165095,51.26,66.39,15.56,9.5,142.71
11,2019,1188397,53.49,70.82,16.51,9.91,150.73
11,2020,1212165,55.13,73.85,17.3,10.21,156.5
11,2021,1236408,56.67,71.65,18.08,10.5,156.9
11,2022,1261137,58.6,72.52,19.01,10.86,160.98
11,2023,1286359,59.63,76.03,19.65,11.05,166.36
11,2024,1312087,62.78,82.11,21.02,11.63,177.55
11,2025,1338328,62.16,82.57,21.14,11.52,177.39
12,2010,904268,38.92,60.62,14.29,8.99,122.82
12,2011,916385,40.72,65.6,15.25,9.41,130.98
12,2012,928664,39.82,62.26,15.2,9.2,126.48
12,2013,941108,42.16,65.78,16.41,9.74,134.1
12,2014,953719,42.7,66.5,16.93,9.86,135.99
12,2015,966499,43.26,67.53,17.47,9.99,138.26
12,2016,979450,45.59,75.05,18.74,10.53,149.91
12,2017,992575,44.44,71.23,18.6,10.27,144.52
12,2018,1005875,47.71,75.5,20.32,11.02,154.55
12,2019,1019354,46.45,70.54,20.12,10.73,147.83
12,2020,1033013,46.29,72.19,20.39,10.69,149.57
12,2021,1046856,48.44,77.77,21.69,11.19,159.1
12,2022,1060884,48.19,78.43,21.94,11.13,159.7
12,2023,1075099,49.4,82.19,22.85,11.41,165.85
12,2024,1089506,51.47,86.92,24.18,11.89,174.46
12,2025,1104105,52.56,85.14,25.08,12.14,174.93
13,2010,2961537,128.1,167.04,49.17,9.7,354.01
13,2011,3018398,135.49,179.61,53.05,10.26,378.41
13,2012,3076351,139.24,181.75,55.58,10.55,387.13
13,2013,3135417,143.4,185.56,58.34,10.86,398.16
13,2014,3195617,144.28,184.5,59.81,10.93,399.52
13,2015,3256973,150.21,200.78,63.42,11.38,425.79
13,2016,3319507,144.12,191.89,61.96,10.92,408.89
13,2017,3383242,152.4,209.79,66.69,11.55,440.42
13,2018,3448200,154.35,204.87,68.72,11.69,439.64
13,2019,3514405,161.24,212.71,73.03,12.22,459.2
13,2020,3581882,162.85,213.97,75.01,12.34,464.16
13,2021,3650654,168.13,225.49,78.73,12.74,485.1
13,2022,3720747,179.25,234.1,85.32,13.58,512.24
13,2023,3792185,176.29,235.14,85.26,13.36,510.06
