region_id,name,state,population_2010,pop_growth_rate,domestic_share,agriculture_share,industrial_share,ecological_share,base_rainfall_mm,base_temp_c,latitude,longitude
1,Visakhapatnam,Andhra Pradesh,899805,0.0135,0.333,0.529,0.15,0.03,1378.1,29.3,23.0049,73.6655
2,Krishna,Andhra Pradesh,4734153,0.0223,0.334,0.456,0.173,0.038,1240.5,27.1,15.1813,79.2096
3,Guntur,Andhra Pradesh,5372183,0.0177,0.379,0.495,0.156,0.03,1373.6,30.3,22.8974,74.5303
4,Anantapur,Andhra Pradesh,757376,0.0229,0.336,0.407,0.095,0.162,1170.3,30.8,16.5616,76.816
5,Pune,Maharashtra,827521,0.0156,0.303,0.419,0.128,0.15,1102.8,27.1,23.6575,81.1034
6,Nagpur,Maharashtra,3029512,0.0182,0.317,0.525,0.16,0.03,759.5,28.8,13.9565,74.5988
7,Nashik,Maharashtra,4907435,0.0245,0.374,0.5,0.151,0.03,913.0,28.0,13.9572,73.4889
8,Marathwada,Maharashtra,441228,0.0242,0.36,0.471,0.137,0.033,1071.2,27.9,19.8289,75.9514
9,Jaipur,Rajasthan,3775894,0.0257,0.332,0.432,0.121,0.115,710.5,24.4,15.9394,75.8167
10,Jodhpur,Rajasthan,572579,0.0226,0.359,0.484,0.158,0.03,865.7,29.7,14.3376,72.2953
11,Bikaner,Rajasthan,994398,0.02,0.367,0.469,0.096,0.068,637.1,28.9,18.2462,76.9533
12,Chennai,Tamil Nadu,904268,0.0134,0.316,0.495,0.116,0.073,606.2,30.7,24.7201,81.0962
13,Coimbatore,Tamil Nadu,2961537,0.0192,0.396,0.517,0.152,0.03,745.0,24.7,24.6364,77.9251
14,Madurai,Tamil Nadu,1888871,0.0148,0.304,0.446,0.138,0.112,1271.0,29.3,22.0725,77.6172
15,Bengaluru Rural,Karnataka,2128536,0.0187,0.35,0.497,0.088,0.064,537.5,27.5,16.6181,73.8788
16,Belagavi,Karnataka,3912929,0.0268,0.292,0.488,0.097,0.122,1023.0,26.4,20.2728,72.2965
17,Kalaburagi,Karnataka,1248390,0.0198,0.338,0.517,0.088,0.056,941.6,30.6,20.0042,78.1554
