reservoir_id,year,inflow_mcm,release_mcm,storage_mcm,storage_pct
1,2010,779.25,62.32,1233.9,100.0
1,2011,659.2,60.34,1233.9,100.0
1,2012,664.23,63.04,1233.9,100.0
1,2013,641.09,65.7,1233.9,100.0
1,2014,660.81,70.18,1233.9,100.0
1,2015,766.86,68.24,1233.9,100.0
1,2016,770.01,70.04,1233.9,100.0
1,2017,767.0,69.92,1233.9,100.0
1,2018,743.78,72.8,1233.9,100.0
1,2019,639.99,77.39,1233.9,100.0
1,2020,570.3,78.92,1233.9,100.0
1,2021,691.99,79.97,1233.9,100.0
1,2022,751.1,79.72,1233.9,100.0
1,2023,693.38,81.31,1233.9,100.0
1,2024,675.49,83.69,1233.9,100.0
1,2025,667.67,87.5,1233.9,100.0
2,2010,903.11,62.32,1207.7,100.0
2,2011,949.1,60.34,1207.7,100.0
2,2012,916.01,63.04,1207.7,100.0
2,2013,859.83,65.7,1207.7,100.0
2,2014,827.31,70.18,1207.7,100.0
2,2015,907.85,68.24,1207.7,100.0
2,2016,998.81,70.04,1207.7,100.0
2,2017,942.78,69.92,1207.7,100.0
2,2018,859.59,72.8,1207.7,100.0
2,2019,876.13,77.39,1207.7,100.0
2,2020,733.9,78.92,1207.7,100.0
2,2021,906.66,79.97,1207.7,100.0
2,2022,802.65,79.72,1207.7,100.0
2,2023,852.74,81.31,1207.7,100.0
2,2024,872.75,83.69,1207.7,100.0
2,2025,788.52,87.5,1207.7,100.0
3,2010,510.64,638.05,498.36,45.1
3,2011,574.46,616.79,456.02,41.2
3,2012,528.26,620.67,363.61,32.9
3,2013,606.97,681.41,289.17,26.1
3,2014,550.88,720.43,119.62,10.8
3,2015,501.52,621.14,0.0,0.0
3,2016,457.39,457.39,0.0,0.0
3,2017,571.25,571.25,0.0,0.0
3,2018,554.36,554.36,0.0,0.0
3,2019,556.24,556.24,0.0,0.0
3,2020,590.61,590.61,0.0,0.0
3,2021,512.64,512.64,0.0,0.0
3,2022,504.33,504.33,0.0,0.0
3,2023,513.08,513.08,0.0,0.0
3,2024,458.66,458.66,0.0,0.0
3,2025,552.23,552.23,0.0,0.0
4,2010,636.14,679.93,528.5,64.8
4,2011,657.99,687.27,499.22,61.2
4,2012,625.86,698.04,427.05,52.3
4,2013,559.19,704.56,281.67,34.5
4,2014,617.97,751.42,148.23,18.2
4,2015,524.69,672.91,0.0,0.0
4,2016,566.86,566.86,0.0,0.0
4,2017,632.39,632.39,0.0,0.0
4,2018,603.26,603.26,0.0,0.0
4,2019,660.97,660.97,0.0,0.0
4,2020,608.38,608.38,0.0,0.0
4,2021,620.2,620.2,0.0,0.0
4,2022,535.51,535.51,0.0,0.0
4,2023,615.28,615.28,0.0,0.0
4,2024,626.6,626.6,0.0,0.0
4,2025,603.2,603.2,0.0,0.0
5,2010,846.62,103.01,1117.7,100.0
5,2011,678.01,106.66,1117.7,100.0
5,2012,760.75,107.87,1117.7,100.0
5,2013,829.07,108.16,1117.7,100.0
5,2014,813.83,112.97,1117.7,100.0
5,2015,815.71,114.85,1117.7,100.0
